Id,Hour1,Hour2,Hour3,Lat,Lon,Posts,FrMeanLat,FrMeanLon
105,14,20,19,42.352,-71.059,8,42.521,-95.003
106,7,13,16,0.000,0.000,27,39.104,-97.086
108,18,25,25,35.772,-78.638,1,35.777,-78.639
110,13,0,15,41.565,-81.441,30,41.550,-81.506
111,7,5,9,35.552,139.647,26,35.614,139.673
112,16,17,25,38.550,-121.694,2,45.968,-70.659
114,18,2,17,29.748,-95.378,775,29.707,-93.522
116,19,20,17,35.795,-78.706,67,36.944,-80.444
117,22,3,21,34.092,-117.435,936,39.840,-94.320
118,17,11,13,53.966,-1.083,9,50.893,-1.389
120,17,20,23,41.034,-73.629,223,41.487,-83.084
121,19,20,22,-41.228,174.880,11,16.506,14.898
122,12,25,25,41.895,-87.843,4,19.271,-155.865
123,20,19,16,0.000,0.000,120,20.791,-42.917
124,1,7,16,32.833,-97.009,510,33.357,-99.698
125,17,22,20,47.601,-122.117,149,34.738,-75.539
126,10,25,25,37.983,23.733,1,35.741,139.830
127,2,16,15,37.794,-122.195,29,37.747,-122.387
128,14,19,7,52.307,4.972,13,51.281,-0.613
129,20,25,25,38.953,-77.106,1,38.929,-77.071
130,8,4,23,-33.916,151.166,38,-4.125,71.072
131,4,16,18,35.911,-78.850,13,38.861,-95.889
132,0,23,10,35.619,139.728,15,25.830,100.734
134,21,17,13,41.900,12.483,24,40.260,11.614
135,11,6,18,0.000,0.000,7,36.814,-118.808
136,16,1,2,37.430,-122.144,5,37.778,-122.407
137,20,25,25,38.666,-77.941,1,41.620,-73.769
138,2,21,3,37.705,-122.461,237,36.789,-105.737
139,11,25,25,48.884,2.294,3,42.692,-32.803
140,1,16,0,33.953,-117.396,13,41.321,-80.669
141,13,7,9,35.704,139.602,403,34.455,128.232
142,23,3,0,33.723,-84.504,3,33.790,-84.542
143,1,20,18,29.622,-82.380,17,33.943,-102.408
144,19,6,4,40.674,-73.882,7,40.658,-73.888
145,10,25,25,39.103,117.252,1,-33.876,151.210
147,19,20,18,37.569,-77.598,48,37.594,-77.514
148,3,1,4,35.179,-80.881,8,36.959,-92.854
149,5,18,7,35.658,139.701,17,35.660,139.732
150,7,9,8,35.671,139.691,38,35.264,124.599
151,19,11,12,49.200,2.583,34,48.849,2.416
152,17,1,18,42.963,-85.668,5,42.745,-86.038
153,18,15,22,-23.547,-46.636,8,-0.641,-104.950
154,19,0,1,38.968,-77.341,82,39.122,-74.767
155,20,1,25,37.790,-122.404,4,37.386,-122.083
156,22,13,0,40.659,-3.767,7,40.451,-3.603
157,4,21,3,37.339,-121.894,6,38.750,-84.821
158,15,19,0,42.539,-83.360,37,45.067,-102.856
159,16,17,2,39.012,-77.496,16,38.968,-77.341
160,23,25,25,32.931,-96.459,1,33.127,-89.872
161,4,2,1,45.244,-93.663,25,44.897,-93.433
162,6,25,25,34.019,-118.491,1,34.100,-118.283
164,9,14,25,38.716,-9.133,2,40.845,-5.469
166,9,11,3,35.677,139.761,10,35.478,139.496
168,2,23,0,40.440,-79.995,225,39.549,-67.709
169,22,1,5,32.617,-85.480,8,32.618,-85.481
170,15,18,1,33.748,-84.387,125,41.927,-87.705
171,21,22,25,47.613,-122.351,3,41.460,-73.405
173,23,25,25,47.949,-124.378,1,47.941,-124.398
175,19,18,0,25.774,-80.193,79,5.963,-3.105
176,6,2,5,35.683,139.600,47,35.650,139.708
179,5,25,25,36.198,-81.666,2,35.902,-78.939
181,9,25,25,55.677,12.570,1,52.914,-2.382
182,12,16,25,43.451,-80.489,5,41.867,-81.969
183,20,22,19,42.365,-71.108,20,41.270,-88.203
184,8,19,23,37.774,-122.419,5,25.215,-40.587
185,4,16,15,38.890,-76.984,45,37.511,-84.581
186,9,25,25,50.483,-4.200,1,55.181,2.803
187,1,3,19,41.850,-87.650,235,38.682,-90.501
188,22,25,25,33.748,-84.387,5,33.790,-84.409
189,17,16,12,42.479,-83.456,6,38.232,-122.636
190,10,8,3,35.165,136.908,215,35.691,139.501
191,2,20,19,38.855,-94.799,148,38.883,-94.344
192,7,21,22,44.818,20.468,1325,44.818,20.438
193,4,19,6,39.894,-86.043,7,39.892,-86.045
194,0,25,25,36.585,-79.395,1,36.698,-78.913
195,14,19,25,40.644,-8.645,3,40.183,-8.428
196,20,25,25,42.278,-71.443,3,42.946,-71.053
197,3,2,5,40.440,-79.995,436,40.932,-79.850
198,6,11,16,12.933,77.587,32,12.023,26.266
199,14,12,19,53.480,-2.237,19,0.000,0.000
200,18,11,19,52.073,5.126,8,52.079,5.115
201,1,21,16,39.183,-96.571,81,42.197,-85.525
202,18,25,25,64.118,-21.857,1,0.000,0.000
203,19,15,17,45.523,-122.676,43,46.565,-122.504
204,14,25,25,0.000,0.000,3,38.500,-80.500
205,5,25,25,37.368,-122.036,1,33.928,-84.341
206,9,25,25,59.233,18.100,1,59.347,18.102
207,17,25,25,47.673,-122.121,1,47.680,-122.120
209,21,20,25,37.250,-119.751,2,35.448,-118.720
210,21,18,2,37.702,-121.935,54,37.774,-122.419
211,22,25,25,40.756,-111.883,2,33.020,-96.848
212,2,18,10,34.020,-118.150,5,33.928,-117.902
213,21,25,25,38.134,-84.490,1,34.250,-118.518
214,14,23,22,33.763,-84.343,317,35.708,-81.695
215,20,25,25,52.006,4.355,1,51.978,4.688
216,0,5,25,30.267,-97.743,3,31.760,-98.283
219,16,21,17,33.197,-96.615,3,36.758,-107.454
220,9,25,25,45.564,12.428,1,47.604,-122.337
221,17,3,25,34.052,-118.243,3,39.201,-92.539
222,16,7,14,33.659,-85.831,17,35.282,-120.659
223,2,3,19,29.665,-95.019,11,29.744,-95.393
224,5,25,25,42.829,-73.950,2,25.756,-80.271
225,6,23,21,47.354,8.560,4,47.136,7.817
226,18,2,19,40.908,29.390,39,45.809,9.087
227,15,17,21,37.774,-122.419,157,37.429,-122.148
228,23,0,1,43.472,-88.191,217,43.813,-86.016
229,3,5,23,39.739,-104.984,47,40.358,-75.805
230,20,25,25,49.249,-123.119,2,49.250,-123.128
231,21,19,1,33.393,-111.673,66,36.046,-114.825
232,9,16,11,55.665,12.517,39,58.925,2.625
233,1,20,7,37.782,-122.463,4,37.783,-121.542
234,19,20,25,37.788,-122.405,2,37.421,-122.098
235,13,5,0,35.715,140.075,244,31.053,119.742
236,3,9,10,-6.268,106.806,87,-6.174,106.829
238,21,0,25,36.453,-94.115,2,6.488,38.801
240,23,19,22,49.283,-123.094,61,45.421,-120.315
241,22,25,25,27.947,-82.458,1,28.541,-81.370
242,16,19,21,34.052,-118.243,1884,34.705,-92.843
243,18,20,2,39.754,-105.017,65,39.879,-98.402
244,4,3,12,42.313,140.976,2100,35.719,129.594
245,19,20,14,56.016,-4.733,2075,45.172,-38.437
247,13,15,16,44.000,-120.501,23,39.486,-117.258
248,16,17,21,37.330,-121.888,3,37.748,-122.459
250,16,17,14,-33.444,-70.623,39,-33.464,-70.612
251,23,20,25,41.700,-71.459,2,41.702,-71.431
253,5,12,25,1.377,103.959,2,1.431,103.795
254,15,11,13,35.518,139.630,90,29.181,114.262
255,18,13,17,53.300,6.200,7,53.235,5.977
256,10,25,25,51.912,4.552,1,51.912,4.552
257,16,14,2,35.878,-86.406,27,39.216,-90.905
258,23,22,20,38.811,-94.531,46,39.633,-87.415
259,0,1,23,35.518,-97.632,229,36.904,-84.935
260,17,22,11,53.793,-1.751,17,53.466,-2.233
261,20,21,11,41.900,12.483,78,36.185,26.305
262,21,19,25,32.776,-79.930,3,44.317,-41.960
263,16,19,15,40.743,-74.032,186,38.862,-103.021
264,23,11,10,54.480,-6.226,10,29.046,-17.904
265,17,18,14,41.960,12.536,53,42.051,11.881
266,12,25,25,40.608,-75.490,1,39.869,-75.079
267,12,16,19,59.850,17.633,8,47.655,5.379
268,12,4,14,27.697,-97.337,9,40.675,-73.982
269,4,25,25,0.000,0.000,1,0.000,0.000
270,2,25,25,51.050,-114.085,2,52.144,-113.922
271,15,12,10,57.133,-2.100,24,41.265,-79.950
272,15,10,14,43.093,141.341,2100,33.031,79.584
273,14,25,25,45.499,-73.570,1,11.225,-121.637
274,7,16,12,41.066,28.946,30,41.066,28.946
275,3,25,25,43.700,-79.416,1,43.680,-79.391
276,0,23,1,39.912,-105.041,38,39.882,-104.959
277,15,16,7,61.266,24.033,18,46.364,-10.058
278,5,4,0,34.806,138.754,15,36.172,139.769
279,15,25,25,60.175,24.934,2,60.175,24.934
280,17,22,25,39.952,-75.163,2,39.030,-82.113
281,12,21,15,39.952,-75.163,96,42.946,-71.053
282,0,25,25,30.267,-97.743,1,31.602,-98.287
283,22,1,16,47.619,-122.130,5,47.651,-122.320
284,16,15,14,49.632,6.176,155,49.071,3.786
285,21,9,8,45.666,9.630,27,42.773,10.670
286,11,25,25,38.145,13.084,1,58.372,26.759
287,23,12,25,59.938,10.776,3,59.907,10.748
288,19,14,7,39.041,-94.593,42,38.727,-100.079
290,19,25,25,40.714,-74.005,3,37.788,-122.395
291,20,25,25,51.750,-0.333,4,51.848,-1.047
292,15,22,16,37.806,-122.404,436,38.019,-111.979
293,1,22,2,35.227,-80.843,6,35.199,-82.748
294,5,16,1,45.557,-122.867,14,45.523,-122.676
295,13,17,14,41.557,-83.627,98,40.365,-82.669
296,1,25,25,40.149,26.401,2,25.853,-75.852
298,23,15,19,29.761,-95.396,32,31.567,-91.811
299,12,19,22,52.476,-0.457,27,51.314,1.009
300,18,17,25,40.652,-79.871,3,39.960,-75.605
303,23,25,25,39.000,-105.500,1,40.017,-105.277
304,10,12,11,35.742,139.604,99,47.616,-122.353
306,17,1,16,40.800,-72.870,71,39.311,-92.948
307,23,25,25,35.387,-119.023,2,35.373,-119.018
308,23,19,22,32.881,-79.976,111,32.923,-83.814
309,16,17,21,30.398,-97.638,28,30.274,-97.736
311,4,25,25,37.367,127.107,1,37.367,127.107
313,5,20,4,39.998,-105.272,13,40.055,-105.208
315,22,0,25,40.727,-73.980,3,38.776,-87.921
316,5,7,10,35.630,139.740,22,36.000,138.000
317,10,18,14,60.168,24.939,61,59.228,20.500
318,11,10,25,60.391,5.324,2,60.391,5.324
320,13,4,8,34.743,135.362,21,35.671,139.678
321,3,0,23,33.542,-112.179,161,33.604,-112.108
322,20,25,25,38.910,-77.189,2,40.723,-73.991
324,4,10,9,35.686,139.729,5,35.686,139.601
325,20,25,25,41.850,-87.650,1,39.821,-83.811
326,10,25,25,41.013,28.949,6,41.066,29.033
327,1,3,0,37.339,-121.894,73,20.431,-22.839
328,23,2,1,42.486,-83.144,7,42.528,-83.210
329,13,11,18,35.684,139.693,10,35.684,139.693
330,23,18,25,40.755,-73.993,2,39.253,-89.650
332,21,4,0,33.916,-117.883,17,38.536,-102.212
333,19,3,1,30.403,-97.853,27,34.824,-88.009
334,3,22,18,32.783,-96.806,19,34.811,-94.724
335,3,2,25,-34.922,-56.157,8,-34.900,-56.092
336,4,8,6,37.925,-122.527,10,28.538,-81.379
337,22,17,20,43.730,-83.976,7,0.000,0.000
338,22,19,18,40.589,-74.502,4,13.981,-41.256
339,1,25,25,24.000,121.000,1,24.000,121.000
340,14,15,1,44.858,-93.661,455,34.654,-38.661
341,17,0,22,38.829,-9.467,17,38.720,-9.142
342,1,12,10,-32.000,115.750,494,-12.075,78.502
343,11,10,12,0.000,0.000,147,30.813,106.016
344,22,0,23,40.440,-79.995,557,37.018,-65.628
345,21,11,20,48.137,11.574,28,48.638,9.628
346,7,1,23,29.895,-97.909,5,30.377,-97.889
347,3,22,15,39.579,-104.879,3,39.739,-104.984
348,5,25,25,33.520,-86.802,2,54.000,-4.000
349,20,19,18,34.169,-118.536,3,34.168,-118.605
350,3,2,1,42.279,-71.149,6,42.397,-71.100
351,5,3,4,35.204,-89.873,28,35.149,-89.904
352,19,13,15,42.194,-71.199,26,37.496,-106.369
353,14,15,10,35.646,139.709,12,35.669,139.681
354,23,17,14,50.866,4.333,4,50.795,4.417
355,5,20,17,36.863,-76.286,64,37.131,-80.678
356,21,3,20,50.035,-110.687,8,50.050,-110.668
357,18,19,21,33.517,-86.801,261,36.053,-81.232
358,21,15,25,38.592,-90.357,3,37.774,-122.419
359,3,2,4,34.416,-119.694,239,34.348,-90.563
360,23,19,10,35.133,136.683,12,36.031,51.049
361,21,23,19,45.438,-122.563,990,37.892,-94.830
362,10,20,23,52.200,5.383,13,52.173,5.462
363,15,17,14,52.524,13.409,13,43.670,25.711
364,9,4,8,35.696,139.793,90,33.976,114.684
365,18,25,25,41.850,-87.650,1,41.850,-87.650
366,23,22,25,49.316,-123.069,2,45.420,-75.690
367,4,25,25,37.774,-122.419,1,29.179,-82.183
368,19,1,18,38.956,-94.592,633,37.681,-86.407
369,0,21,17,40.444,-79.952,61,38.735,-81.106
370,3,22,0,38.898,-77.081,11,38.898,-77.081
372,19,1,2,47.646,-122.138,6,40.602,-117.014
373,14,15,16,41.587,-93.623,13,44.461,-59.757
374,17,18,25,35.276,-85.055,4,44.571,-58.691
375,15,19,13,32.982,-96.702,11,34.309,-100.215
376,16,3,13,33.820,-84.309,12,0.000,0.000
377,9,16,25,52.371,4.900,2,52.358,4.908
378,18,19,6,51.048,-114.087,12,50.906,-114.112
379,16,17,18,0.000,0.000,45,0.000,0.000
380,23,25,25,35.076,-106.537,1,48.196,-114.335
381,5,25,25,41.850,-87.650,1,41.560,-93.633
382,3,25,25,13.750,100.516,2,13.529,100.625
383,4,21,22,45.537,-122.863,20,45.513,-122.832
384,2,21,23,43.038,-87.906,50,43.038,-87.906
385,23,4,1,33.872,130.524,50,33.582,130.480
386,3,25,25,33.889,-84.237,2,33.891,-84.247
387,22,0,3,47.606,-122.332,4,47.576,-122.400
389,4,3,25,40.686,-73.858,2,40.714,-74.005
390,6,7,8,35.611,139.626,224,33.146,117.434
391,0,19,17,45.424,-122.811,2100,38.299,-104.455
392,23,25,25,44.088,-123.044,1,43.915,-96.599
393,15,20,11,28.154,-82.536,9,42.028,-70.185
394,7,23,5,32.912,-96.638,12,32.864,-96.605
395,23,0,10,35.605,139.335,11,35.650,139.461
396,18,5,21,38.916,-92.293,4,35.457,-97.425
397,12,13,18,38.900,-77.016,65,36.397,-76.294
398,21,12,22,40.675,-73.971,2100,36.648,-80.498
399,10,25,25,52.516,13.399,1,56.180,12.000
401,20,22,21,40.621,-73.922,7,17.923,-39.282
402,21,20,16,38.010,-84.530,40,37.907,-84.522
403,19,21,13,45.809,9.087,59,42.223,22.478
404,12,22,18,51.683,-1.183,42,36.835,32.450
405,15,12,14,52.073,4.263,40,52.232,4.563
409,17,25,25,-35.675,-71.542,1,41.847,-77.815
410,11,13,16,51.542,-0.087,100,37.924,-26.198
411,0,4,15,40.772,-82.551,13,33.336,-112.207
412,23,21,16,40.625,-75.370,90,39.501,-82.085
413,17,15,25,60.163,24.617,2,61.043,25.244
414,13,12,10,35.608,139.670,57,0.890,145.447
415,23,21,20,40.816,-73.946,69,39.986,-90.745
416,19,0,23,47.614,-122.312,4,47.657,-122.143
417,17,21,18,59.329,18.062,121,59.679,17.741
418,6,25,25,42.927,-83.629,1,36.039,-86.869
419,7,25,25,60.175,24.934,1,60.175,24.934
420,2,11,18,41.977,-87.668,10,39.138,-110.697
421,23,0,22,38.004,-121.805,1624,38.172,-121.775
422,5,16,7,42.468,-76.455,20,43.317,-108.458
423,0,23,17,42.885,-78.873,706,41.343,-84.458
425,9,25,25,51.221,6.776,2,49.737,8.254
427,13,12,15,0.000,0.000,27,35.359,137.590
428,14,25,25,39.099,-94.578,1,44.972,-93.275
429,20,19,0,45.539,-73.598,28,45.546,-73.572
430,13,3,14,29.763,-95.363,22,37.397,140.382
431,3,25,25,-34.720,-58.269,1,-34.576,-58.408
432,8,5,4,45.480,-122.642,1151,25.770,36.631
433,5,22,17,38.953,-94.733,162,38.973,-94.796
434,21,19,20,45.850,1.250,22,46.601,1.524
435,16,13,17,41.499,-81.695,27,41.537,-81.566
436,19,17,22,50.927,1.805,12,48.829,2.361
437,22,18,14,39.952,-75.163,7,38.083,-100.298
439,22,25,25,48.577,7.765,1,48.868,2.373
440,19,18,20,0.000,0.000,776,33.502,-100.856
441,12,6,15,42.600,-5.566,35,39.678,6.379
443,6,25,25,40.152,-75.266,1,35.630,-64.295
445,4,20,16,38.906,-77.048,9,38.276,-91.083
447,14,17,25,35.801,-78.720,5,18.684,-31.181
449,17,1,18,44.979,-93.263,3,47.545,-122.016
450,15,16,18,19.516,-99.250,5,19.421,-99.165
451,10,11,17,59.433,24.728,26,59.433,24.730
452,14,18,23,46.466,-73.132,7,49.160,-17.746
453,2,3,0,30.832,-83.278,746,36.437,-80.195
455,7,2,1,37.000,127.500,9,35.677,139.654
456,17,20,16,33.485,-86.812,350,41.352,-56.859
457,7,25,25,38.370,-97.664,1,30.332,-81.655
458,16,25,25,45.019,-85.352,3,34.010,-118.470
459,17,16,25,40.766,-73.956,4,40.765,-73.954
460,18,1,0,39.290,-76.612,288,0.000,0.000
461,19,23,16,57.165,-2.112,76,54.340,-1.114
462,4,3,1,21.307,-157.855,575,24.286,-142.137
463,18,16,15,62.383,17.300,4,63.830,20.306
464,9,12,1,-37.066,144.216,14,-23.397,104.576
465,22,3,21,32.716,-117.161,90,35.657,-108.170
466,1,20,25,38.624,-90.150,3,38.637,-90.236
467,18,25,25,39.240,-76.839,1,39.290,-76.612
468,19,21,1,35.491,-92.031,11,38.098,-63.677
469,13,11,9,-37.819,145.026,55,-37.039,146.234
470,7,17,19,53.383,-2.516,48,53.975,-1.790
471,18,1,25,38.165,-122.900,2,37.517,-112.856
472,16,19,21,40.880,-85.166,62,37.774,-122.419
473,22,3,18,38.627,-90.197,12,38.082,-92.235
474,22,25,25,40.014,-105.270,1,40.014,-105.270
476,0,11,23,30.267,-97.743,64,0.000,0.000
477,2,5,1,37.426,-92.956,30,43.701,-52.338
478,14,7,25,49.993,8.367,2,59.329,18.062
479,18,16,19,42.963,-85.673,12,44.434,-78.743
480,0,2,18,27.955,-81.878,4,27.997,-82.281
481,4,22,21,0.000,0.000,36,13.444,37.876
482,18,17,23,47.307,-122.228,10,40.449,-73.845
483,4,5,21,39.739,-104.984,180,38.104,-94.033
484,2,25,25,32.921,-117.055,1,38.903,-40.074
485,14,15,25,51.221,6.776,3,50.933,6.950
486,12,22,25,56.283,12.500,2,59.400,18.333
487,15,14,0,42.395,-71.182,5,33.748,-84.387
488,15,13,23,38.952,-77.068,71,39.625,-80.249
489,20,7,19,30.332,-81.655,9,34.818,-81.029
490,10,12,8,34.751,113.668,14,35.177,118.772
491,11,8,23,59.452,17.943,72,43.991,-43.261
492,1,2,3,39.978,-105.132,140,37.280,-94.090
494,21,2,1,0.000,0.000,71,39.624,-44.810
495,22,20,21,41.450,-72.816,270,38.559,-64.708
496,13,25,25,50.698,7.235,2,45.707,-33.461
497,2,6,21,35.486,-97.587,41,42.908,-82.487
498,14,15,10,53.473,-2.240,4,53.590,-2.662
499,11,12,15,41.011,28.946,15,35.669,59.769
501,15,16,22,46.211,-119.137,11,41.022,-74.517
502,14,15,16,33.754,-84.387,430,33.760,-84.379
503,9,25,25,52.900,-1.183,1,50.339,-4.739
505,16,11,25,61.000,24.450,6,61.798,25.717
507,12,0,17,45.516,-73.649,183,18.248,-66.499
508,0,19,1,40.167,-105.101,21,39.531,-103.728
509,1,25,25,52.410,-0.709,2,52.300,-0.700
510,22,15,25,36.149,-79.870,2,35.307,-80.715
512,17,19,22,30.396,-97.745,46,35.394,-4.511
513,14,15,17,41.765,-72.671,85,41.589,-72.508
514,20,21,19,34.052,-118.243,743,34.465,-77.732
515,10,18,8,24.831,121.018,18,40.612,141.207
516,11,17,12,52.953,-1.150,6,52.914,-1.157
517,18,19,16,41.853,-87.656,10,41.795,-87.599
518,17,20,19,40.826,-73.922,248,37.023,-67.055
519,5,4,25,33.415,-111.549,2,33.637,-112.020
520,4,19,23,37.968,-78.715,4,38.036,-78.479
521,15,17,0,39.739,-104.984,11,39.799,-105.010
522,19,4,18,33.577,-101.855,22,26.219,-97.672
523,15,25,25,35.910,-79.075,1,33.784,-84.383
524,20,13,11,53.550,8.083,62,51.591,9.716
525,23,10,5,33.870,-117.925,17,33.671,-117.955
526,5,15,4,47.541,-121.878,4,47.535,-121.879
527,6,7,25,35.685,139.751,4,27.983,86.933
529,1,17,3,39.747,-104.994,3,39.772,-104.981
530,3,4,5,39.739,-104.984,7,39.750,-105.000
531,23,11,25,55.950,-3.200,2,55.961,-3.186
532,20,23,0,37.348,-76.728,106,38.658,-77.249
534,13,1,23,36.147,-86.838,15,35.699,-86.261
535,3,23,10,-35.150,147.466,4,-27.561,153.044
536,19,18,10,50.716,-1.883,1044,50.159,-13.463
537,15,25,25,37.067,-76.514,1,36.878,-76.206
538,2,25,25,34.012,-117.688,1,32.745,-117.154
539,14,12,16,52.370,9.733,11,49.993,-54.368
540,23,25,25,38.914,-77.046,1,39.351,-76.606
541,18,22,1,34.698,-118.136,42,31.795,-50.792
542,20,22,19,59.329,18.062,9,55.217,3.958
544,22,25,25,36.223,-81.693,1,51.558,0.592
545,18,22,25,52.516,-1.466,2,52.617,-1.244
546,8,15,9,51.490,-0.122,110,40.902,-11.651
547,20,17,21,34.050,-117.820,54,34.477,-109.630
548,1,2,20,40.018,-105.280,25,40.014,-105.270
549,0,23,1,31.129,-85.081,697,34.303,-59.755
550,17,25,25,39.115,-77.563,1,25.819,-80.355
551,18,2,23,36.059,-94.180,60,36.133,-94.143
552,20,21,19,21.402,-157.739,802,21.311,-157.864
553,21,25,25,38.617,-90.349,1,38.671,-90.429
554,21,20,6,33.739,-117.834,4,33.847,-117.889
555,19,17,0,33.971,-81.008,320,34.352,-81.012
556,9,25,25,22.304,114.160,1,39.762,-104.982
557,2,19,0,37.277,-76.740,10,37.280,-76.741
558,9,7,11,55.605,13.000,29,58.070,15.507
561,3,17,23,40.576,-73.957,44,42.199,-93.824
562,19,6,21,37.787,-122.403,295,36.385,-107.280
563,0,25,25,39.766,-86.441,1,35.364,-119.740
564,5,25,25,40.772,-73.930,1,40.757,-73.985
565,3,5,0,49.249,-123.119,55,40.534,-103.881
566,17,25,25,35.467,-97.516,1,38.945,-77.193
568,14,9,25,0.000,0.000,2,0.000,0.000
571,6,5,3,45.529,-122.643,201,39.740,-69.526
572,12,6,16,39.899,-74.989,103,29.504,-31.648
573,18,3,25,41.975,-87.689,2,32.810,-96.791
576,10,20,18,51.516,-0.141,4,53.585,-1.501
577,14,21,20,30.170,-95.509,263,26.727,-68.339
578,8,5,25,37.368,-122.036,3,37.368,-122.036
579,22,23,9,59.904,10.821,16,59.942,10.735
581,1,4,3,24.912,121.165,15,40.612,141.207
